carrier,flight,month_name,time_hour,dep_delay,arr_delay,dep_delay_cat,arr_delay_cat
AA,303,December,2013-12-24T11:00:00Z,-7,-35,Kind of on time,Early
B6,41,June,2013-06-13T14:00:00Z,-4,48,Kind of on time,Late
EV,4201,October,2013-10-31T20:00:00Z,19,20,Kind of on time,Kind of on time
DL,2247,August,2013-08-05T17:00:00Z,-2,4,Kind of on time,Kind of on time
AA,1837,March,2013-03-11T10:00:00Z,0,-14,Kind of on time,Kind of on time
9E,3470,April,2013-04-02T22:00:00Z,0,-2,Kind of on time,Kind of on time
UA,257,October,2013-10-31T19:00:00Z,-9,-11,Kind of on time,Kind of on time
AA,1097,May,2013-05-25T13:00:00Z,-2,-43,Kind of on time,Early
UA,761,April,2013-04-23T10:00:00Z,-5,-17,Kind of on time,Kind of on time
AA,1879,August,2013-08-18T14:00:00Z,-7,-34,Kind of on time,Early
DL,2131,March,2013-03-18T22:00:00Z,81,94,Late,Late
UA,729,May,2013-05-02T00:00:00Z,13,22,Kind of on time,Kind of on time
UA,1453,December,2013-12-29T23:00:00Z,8,-26,Kind of on time,Kind of on time
DL,1959,March,2013-03-09T13:00:00Z,-9,-29,Kind of on time,Kind of on time
EV,4913,February,2013-02-10T13:00:00Z,-2,-16,Kind of on time,Kind of on time
B6,1503,August,2013-08-19T03:00:00Z,0,6,Kind of on time,Kind of on time
EV,4181,June,2013-06-15T18:00:00Z,32,NA,Late,NA
US,2144,June,2013-06-22T01:00:00Z,-7,-20,Kind of on time,Kind of on time
DL,1435,February,2013-02-09T00:00:00Z,NA,NA,NA,NA
DL,2391,April,2013-04-06T22:00:00Z,1,-21,Kind of on time,Kind of on time
MQ,2839,December,2013-12-27T23:00:00Z,24,-11,Kind of on time,Kind of on time
EV,4155,September,2013-09-19T11:00:00Z,-10,-13,Kind of on time,Kind of on time
B6,1008,May,2013-05-24T17:00:00Z,9,-7,Kind of on time,Kind of on time
B6,2702,November,2013-11-30T12:00:00Z,-5,5,Kind of on time,Kind of on time
B6,323,July,2013-07-26T16:00:00Z,-11,18,Kind of on time,Kind of on time
B6,2402,October,2013-10-07T17:00:00Z,63,95,Late,Late
DL,1863,June,2013-06-02T21:00:00Z,15,-9,Kind of on time,Kind of on time
B6,281,August,2013-08-05T12:00:00Z,-3,-11,Kind of on time,Kind of on time
UA,533,October,2013-10-01T16:00:00Z,-6,-35,Kind of on time,Early
AA,33,November,2013-11-07T13:00:00Z,-3,9,Kind of on time,Kind of on time
AA,2279,February,2013-02-04T12:00:00Z,-1,0,Kind of on time,Kind of on time
MQ,3272,September,2013-09-17T12:00:00Z,-11,-21,Kind of on time,Kind of on time
WN,3,December,2013-12-05T18:00:00Z,9,-2,Kind of on time,Kind of on time
DL,1091,November,2013-11-09T00:00:00Z,-1,14,Kind of on time,Kind of on time
B6,393,June,2013-06-18T13:00:00Z,-3,-22,Kind of on time,Kind of on time
UA,15,October,2013-10-23T17:00:00Z,-2,-14,Kind of on time,Kind of on time
EV,4471,April,2013-04-05T10:00:00Z,-3,14,Kind of on time,Kind of on time
B6,341,April,2013-04-06T11:00:00Z,-2,-17,Kind of on time,Kind of on time
US,2039,November,2013-11-22T23:00:00Z,18,10,Kind of on time,Kind of on time
B6,1111,May,2013-05-28T21:00:00Z,4,-10,Kind of on time,Kind of on time
DL,2065,September,2013-09-24T23:00:00Z,-3,-33,Kind of on time,Early
US,456,October,2013-10-24T17:00:00Z,0,5,Kind of on time,Kind of on time
B6,71,July,2013-07-31T23:00:00Z,29,28,Kind of on time,Kind of on time
EV,4352,February,2013-02-10T20:00:00Z,-6,-3,Kind of on time,Kind of on time
B6,537,March,2013-03-24T19:00:00Z,-4,-5,Kind of on time,Kind of on time
B6,925,August,2013-08-12T14:00:00Z,9,31,Kind of on time,Late
B6,683,July,2013-07-30T11:00:00Z,-3,-9,Kind of on time,Kind of on time
AA,337,March,2013-03-20T18:00:00Z,0,-28,Kind of on time,Kind of on time
AA,21,July,2013-07-14T23:00:00Z,6,-51,Kind of on time,Early
UA,689,May,2013-05-08T21:00:00Z,158,188,Late,Late
UA,1177,October,2013-10-11T12:00:00Z,0,-23,Kind of on time,Kind of on time
EV,4382,April,2013-04-21T22:00:00Z,-4,-13,Kind of on time,Kind of on time
MQ,3374,September,2013-09-21T23:00:00Z,-4,2,Kind of on time,Kind of on time
B6,991,March,2013-03-23T16:00:00Z,12,29,Kind of on time,Kind of on time
9E,3395,January,2013-01-10T01:00:00Z,-8,-29,Kind of on time,Kind of on time
MQ,3301,September,2013-09-12T21:00:00Z,NA,NA,NA,NA
B6,717,May,2013-05-11T12:00:00Z,-6,-6,Kind of on time,Kind of on time
AA,2267,November,2013-11-07T13:00:00Z,-7,-14,Kind of on time,Kind of on time
AA,1103,November,2013-11-19T11:00:00Z,-3,-17,Kind of on time,Kind of on time
9E,3525,July,2013-07-17T23:00:00Z,10,12,Kind of on time,Kind of on time
B6,1105,September,2013-09-15T20:00:00Z,-4,32,Kind of on time,Late
US,2179,November,2013-11-01T16:00:00Z,NA,NA,NA,NA
9E,4059,July,2013-07-26T22:00:00Z,-7,-3,Kind of on time,Kind of on time
UA,1736,January,2013-01-17T16:00:00Z,-4,-5,Kind of on time,Kind of on time
UA,236,December,2013-12-28T01:00:00Z,8,-15,Kind of on time,Kind of on time
MQ,4429,January,2013-01-16T20:00:00Z,33,37,Late,Late
EV,4978,July,2013-07-31T18:00:00Z,-9,-18,Kind of on time,Kind of on time
UA,544,January,2013-01-07T14:00:00Z,3,8,Kind of on time,Kind of on time
B6,702,July,2013-07-22T01:00:00Z,16,24,Kind of on time,Kind of on time
UA,1641,September,2013-09-29T17:00:00Z,-4,-31,Kind of on time,Early
B6,42,June,2013-06-17T13:00:00Z,5,-6,Kind of on time,Kind of on time
VX,411,January,2013-01-13T18:00:00Z,-3,-14,Kind of on time,Kind of on time
UA,1615,July,2013-07-15T00:00:00Z,-3,-23,Kind of on time,Kind of on time
WN,2603,June,2013-06-12T22:00:00Z,-1,19,Kind of on time,Kind of on time
EV,4092,June,2013-06-18T20:00:00Z,NA,NA,NA,NA
DL,2595,December,2013-12-19T21:00:00Z,-1,-4,Kind of on time,Kind of on time
WN,485,December,2013-12-03T11:00:00Z,2,-10,Kind of on time,Kind of on time
UA,744,March,2013-03-18T01:00:00Z,17,2,Kind of on time,Kind of on time
MQ,4670,April,2013-04-04T13:00:00Z,0,24,Kind of on time,Kind of on time
US,1531,June,2013-06-04T21:00:00Z,27,36,Kind of on time,Late
B6,263,September,2013-09-30T22:00:00Z,30,35,Late,Late
UA,689,May,2013-05-03T21:00:00Z,142,119,Late,Late
EV,5059,July,2013-07-04T10:00:00Z,-1,-22,Kind of on time,Kind of on time
UA,1667,June,2013-06-28T23:00:00Z,271,239,Late,Late
UA,1626,October,2013-10-13T12:00:00Z,8,8,Kind of on time,Kind of on time
AA,256,September,2013-09-27T19:00:00Z,24,7,Kind of on time,Kind of on time
B6,669,September,2013-09-16T22:00:00Z,-6,-9,Kind of on time,Kind of on time
US,2150,August,2013-08-07T18:00:00Z,-8,-20,Kind of on time,Kind of on time
AA,1613,February,2013-02-25T23:00:00Z,7,-18,Kind of on time,Kind of on time
B6,20,June,2013-06-17T13:00:00Z,5,-4,Kind of on time,Kind of on time
AA,2075,March,2013-03-18T23:00:00Z,238,280,Late,Late
EV,4536,July,2013-07-30T00:00:00Z,45,31,Late,Late
AA,145,October,2013-10-20T19:00:00Z,9,8,Kind of on time,Kind of on time
B6,1002,April,2013-04-20T10:00:00Z,3,5,Kind of on time,Kind of on time
UA,252,December,2013-12-09T17:00:00Z,-4,4,Kind of on time,Kind of on time
B6,36,January,2013-01-24T22:00:00Z,-8,-15,Kind of on time,Kind of on time
US,2142,December,2013-12-12T15:00:00Z,-8,-12,Kind of on time,Kind of on time
EV,4581,January,2013-01-11T20:00:00Z,-3,13,Kind of on time,Kind of on time
B6,1119,September,2013-09-07T21:00:00Z,-5,-29,Kind of on time,Kind of on time
9E,4059,June,2013-06-02T22:00:00Z,NA,NA,NA,NA
US,623,August,2013-08-20T10:00:00Z,-3,-40,Kind of on time,Early
9E,4127,August,2013-08-05T00:00:00Z,0,-18,Kind of on time,Kind of on time
UA,1701,April,2013-04-18T11:00:00Z,-4,-4,Kind of on time,Kind of on time
AA,300,September,2013-09-21T16:00:00Z,-7,-15,Kind of on time,Kind of on time
DL,2331,May,2013-05-14T21:00:00Z,7,-15,Kind of on time,Kind of on time
DL,120,October,2013-10-09T13:00:00Z,-5,-15,Kind of on time,Kind of on time
VX,27,April,2013-04-13T20:00:00Z,59,66,Late,Late
UA,1115,August,2013-08-26T10:00:00Z,6,-5,Kind of on time,Kind of on time
AA,1073,July,2013-07-24T17:00:00Z,-6,-15,Kind of on time,Kind of on time
AA,371,December,2013-12-02T01:00:00Z,-10,-38,Kind of on time,Early
B6,301,July,2013-07-14T18:00:00Z,-2,-22,Kind of on time,Kind of on time
UA,1626,December,2013-12-02T13:00:00Z,-2,-26,Kind of on time,Kind of on time
EV,5349,December,2013-12-27T16:00:00Z,102,82,Late,Late
VX,23,August,2013-08-22T14:00:00Z,7,16,Kind of on time,Kind of on time
MQ,3419,July,2013-07-30T12:00:00Z,-2,13,Kind of on time,Kind of on time
MQ,4579,May,2013-05-19T19:00:00Z,37,36,Late,Late
B6,115,January,2013-01-04T01:00:00Z,6,13,Kind of on time,Kind of on time
US,2173,March,2013-03-08T17:00:00Z,NA,NA,NA,NA
DL,985,November,2013-11-20T01:00:00Z,45,22,Late,Kind of on time
UA,587,December,2013-12-03T00:00:00Z,4,19,Kind of on time,Kind of on time
B6,1318,September,2013-09-14T16:00:00Z,5,-3,Kind of on time,Kind of on time
B6,63,May,2013-05-29T18:00:00Z,1,-7,Kind of on time,Kind of on time
MQ,3202,October,2013-10-20T19:00:00Z,50,36,Late,Late
AA,977,April,2013-04-16T16:00:00Z,23,40,Kind of on time,Late
EV,4700,February,2013-02-02T23:00:00Z,-3,-11,Kind of on time,Kind of on time
EV,5025,March,2013-03-25T13:00:00Z,59,37,Late,Late
MQ,4576,January,2013-01-23T11:00:00Z,-7,-18,Kind of on time,Kind of on time
EV,4241,August,2013-08-05T10:00:00Z,63,56,Late,Late
UA,1711,October,2013-10-03T13:00:00Z,-2,-14,Kind of on time,Kind of on time
EV,4377,December,2013-12-18T20:00:00Z,-3,-27,Kind of on time,Kind of on time
AA,269,January,2013-01-05T23:00:00Z,-3,-37,Kind of on time,Early
DL,1321,September,2013-09-05T21:00:00Z,-6,-24,Kind of on time,Kind of on time
EV,4233,February,2013-02-28T13:00:00Z,3,-3,Kind of on time,Kind of on time
MQ,3202,June,2013-06-14T19:00:00Z,-1,29,Kind of on time,Kind of on time
B6,1307,October,2013-10-22T15:00:00Z,-7,-7,Kind of on time,Kind of on time
AS,15,September,2013-09-10T11:00:00Z,-3,-44,Kind of on time,Early
B6,167,August,2013-08-02T21:00:00Z,-4,10,Kind of on time,Kind of on time
DL,1167,March,2013-03-16T12:00:00Z,-3,-10,Kind of on time,Kind of on time
9E,3446,April,2013-04-29T22:00:00Z,46,32,Late,Late
UA,651,June,2013-06-28T19:00:00Z,59,57,Late,Late
B6,281,October,2013-10-18T12:00:00Z,-2,20,Kind of on time,Kind of on time
B6,425,August,2013-08-05T01:00:00Z,22,23,Kind of on time,Kind of on time
B6,905,April,2013-04-15T10:00:00Z,0,-6,Kind of on time,Kind of on time
B6,1511,September,2013-09-19T12:00:00Z,-5,-21,Kind of on time,Kind of on time
UA,1455,November,2013-11-23T12:00:00Z,52,77,Late,Late
B6,12,April,2013-04-16T19:00:00Z,0,-16,Kind of on time,Kind of on time
UA,1280,December,2013-12-12T17:00:00Z,-2,-20,Kind of on time,Kind of on time
EV,3846,September,2013-09-01T19:00:00Z,-9,-18,Kind of on time,Kind of on time
AA,359,August,2013-08-16T22:00:00Z,0,-29,Kind of on time,Kind of on time
AA,1925,March,2013-03-03T20:00:00Z,-5,-18,Kind of on time,Kind of on time
AA,177,November,2013-11-03T23:00:00Z,8,23,Kind of on time,Kind of on time
EV,4091,August,2013-08-07T20:00:00Z,111,114,Late,Late
DL,1885,May,2013-05-16T13:00:00Z,-1,-21,Kind of on time,Kind of on time
UA,703,March,2013-03-16T15:00:00Z,-5,-11,Kind of on time,Kind of on time
UA,512,July,2013-07-15T21:00:00Z,2,-51,Kind of on time,Early
UA,463,March,2013-03-20T22:00:00Z,-1,-15,Kind of on time,Kind of on time
9E,3527,September,2013-09-09T18:00:00Z,-6,-6,Kind of on time,Kind of on time
VX,407,January,2013-01-02T14:00:00Z,3,-7,Kind of on time,Kind of on time
B6,711,February,2013-02-20T23:00:00Z,3,-11,Kind of on time,Kind of on time
VX,187,July,2013-07-05T14:00:00Z,17,-2,Kind of on time,Kind of on time
9E,3340,April,2013-04-02T23:00:00Z,47,37,Late,Late
MQ,3603,July,2013-07-22T00:00:00Z,66,57,Late,Late
EV,5601,November,2013-11-13T21:00:00Z,8,26,Kind of on time,Kind of on time
MQ,4410,March,2013-03-04T22:00:00Z,-7,-10,Kind of on time,Kind of on time
B6,213,August,2013-08-05T17:00:00Z,17,1,Kind of on time,Kind of on time
AA,320,December,2013-12-22T19:00:00Z,NA,NA,NA,NA
AA,1589,February,2013-02-12T14:00:00Z,-4,7,Kind of on time,Kind of on time
AA,1949,August,2013-08-30T10:00:00Z,-3,-22,Kind of on time,Kind of on time
UA,1122,November,2013-11-15T18:00:00Z,-5,-17,Kind of on time,Kind of on time
AA,1145,November,2013-11-10T18:00:00Z,-6,-22,Kind of on time,Kind of on time
MQ,3669,June,2013-06-24T18:00:00Z,2,-6,Kind of on time,Kind of on time
MQ,4558,March,2013-03-23T12:00:00Z,-3,-15,Kind of on time,Kind of on time
B6,286,August,2013-08-05T17:00:00Z,3,-15,Kind of on time,Kind of on time
EV,4326,May,2013-05-28T18:00:00Z,5,4,Kind of on time,Kind of on time
VX,193,October,2013-10-02T21:00:00Z,17,1,Kind of on time,Kind of on time
B6,925,July,2013-07-06T14:00:00Z,2,-2,Kind of on time,Kind of on time
9E,3424,January,2013-01-29T23:00:00Z,17,33,Kind of on time,Late
UA,370,September,2013-09-30T18:00:00Z,-1,-30,Kind of on time,Kind of on time
DL,847,January,2013-01-30T21:00:00Z,39,86,Late,Late
9E,4120,October,2013-10-19T18:00:00Z,-4,24,Kind of on time,Kind of on time
US,2181,December,2013-12-03T18:00:00Z,-6,-17,Kind of on time,Kind of on time
B6,1318,September,2013-09-13T16:00:00Z,28,31,Kind of on time,Late
WN,1975,September,2013-09-24T11:00:00Z,0,7,Kind of on time,Kind of on time
DL,503,February,2013-02-11T22:00:00Z,27,-4,Kind of on time,Kind of on time
B6,625,April,2013-04-25T15:00:00Z,-2,11,Kind of on time,Kind of on time
UA,1526,September,2013-09-26T23:00:00Z,9,0,Kind of on time,Kind of on time
AA,575,February,2013-02-05T22:00:00Z,22,10,Kind of on time,Kind of on time
B6,553,September,2013-09-13T16:00:00Z,10,7,Kind of on time,Kind of on time
AA,1855,July,2013-07-22T15:00:00Z,-4,5,Kind of on time,Kind of on time
B6,709,April,2013-04-13T09:00:00Z,0,26,Kind of on time,Kind of on time
B6,709,January,2013-01-23T11:00:00Z,-4,-4,Kind of on time,Kind of on time
AA,1357,May,2013-05-06T12:00:00Z,-1,-12,Kind of on time,Kind of on time
UA,269,September,2013-09-26T20:00:00Z,-6,-15,Kind of on time,Kind of on time
EV,4701,March,2013-03-31T21:00:00Z,-1,-17,Kind of on time,Kind of on time
B6,1099,September,2013-09-23T10:00:00Z,-3,-9,Kind of on time,Kind of on time
B6,34,July,2013-07-05T15:00:00Z,31,19,Late,Kind of on time
DL,1903,June,2013-06-06T14:00:00Z,-10,-20,Kind of on time,Kind of on time
B6,234,August,2013-08-04T02:00:00Z,-6,-7,Kind of on time,Kind of on time
DL,2042,June,2013-06-30T20:00:00Z,NA,NA,NA,NA
EV,4140,July,2013-07-16T13:00:00Z,-6,-13,Kind of on time,Kind of on time
DL,2131,March,2013-03-29T22:00:00Z,-8,-27,Kind of on time,Kind of on time
AA,2083,July,2013-07-19T11:00:00Z,-8,-25,Kind of on time,Kind of on time
EV,5287,September,2013-09-06T21:00:00Z,57,25,Late,Kind of on time
DL,31,January,2013-01-05T22:00:00Z,0,-21,Kind of on time,Kind of on time
DL,2098,March,2013-03-04T20:00:00Z,-7,0,Kind of on time,Kind of on time
EV,4312,September,2013-09-28T00:00:00Z,-3,-1,Kind of on time,Kind of on time
EV,3828,March,2013-03-06T11:00:00Z,-1,-13,Kind of on time,Kind of on time
9E,2954,November,2013-11-08T23:00:00Z,-8,-20,Kind of on time,Kind of on time
EV,4224,October,2013-10-14T23:00:00Z,0,20,Kind of on time,Kind of on time
DL,1959,June,2013-06-15T12:00:00Z,-3,-24,Kind of on time,Kind of on time
UA,1296,December,2013-12-10T13:00:00Z,-1,18,Kind of on time,Kind of on time
VX,187,November,2013-11-23T15:00:00Z,-6,7,Kind of on time,Kind of on time
DL,2043,June,2013-06-20T17:00:00Z,-1,-12,Kind of on time,Kind of on time
9E,3318,May,2013-05-12T18:00:00Z,-3,-8,Kind of on time,Kind of on time
EV,6177,November,2013-11-26T11:00:00Z,-5,-13,Kind of on time,Kind of on time
B6,74,May,2013-05-23T16:00:00Z,48,46,Late,Late
9E,3319,July,2013-07-16T16:00:00Z,-5,-11,Kind of on time,Kind of on time
US,1745,September,2013-09-17T14:00:00Z,-1,-16,Kind of on time,Kind of on time
9E,3521,April,2013-04-04T12:00:00Z,-1,-28,Kind of on time,Kind of on time
B6,645,March,2013-03-29T23:00:00Z,-2,-34,Kind of on time,Early
AA,353,March,2013-03-21T22:00:00Z,-1,-16,Kind of on time,Kind of on time
B6,1174,February,2013-02-07T17:00:00Z,-10,-19,Kind of on time,Kind of on time
UA,703,October,2013-10-01T15:00:00Z,-6,-32,Kind of on time,Early
AA,2041,February,2013-02-10T17:00:00Z,25,-7,Kind of on time,Kind of on time
B6,3,June,2013-06-23T11:00:00Z,0,-5,Kind of on time,Kind of on time
EV,5037,September,2013-09-02T19:00:00Z,NA,NA,NA,NA
DL,1685,September,2013-09-23T16:00:00Z,-7,1,Kind of on time,Kind of on time
EV,3807,November,2013-11-04T16:00:00Z,-4,-15,Kind of on time,Kind of on time
EV,4361,November,2013-11-21T00:00:00Z,10,-5,Kind of on time,Kind of on time
UA,67,February,2013-02-14T15:00:00Z,-11,-26,Kind of on time,Kind of on time
DL,2343,July,2013-07-02T14:00:00Z,1,14,Kind of on time,Kind of on time
9E,4060,October,2013-10-28T13:00:00Z,-1,-10,Kind of on time,Kind of on time
9E,3368,January,2013-01-16T00:00:00Z,-6,-14,Kind of on time,Kind of on time
MQ,3363,July,2013-07-08T12:00:00Z,-7,-5,Kind of on time,Kind of on time
AA,343,September,2013-09-25T20:00:00Z,-5,-12,Kind of on time,Kind of on time
AA,371,September,2013-09-09T00:00:00Z,-6,-27,Kind of on time,Kind of on time
B6,1185,October,2013-10-10T21:00:00Z,8,6,Kind of on time,Kind of on time
B6,1178,March,2013-03-25T00:00:00Z,22,18,Kind of on time,Kind of on time
EV,4195,November,2013-11-13T00:00:00Z,90,72,Late,Late
EV,4316,January,2013-01-22T22:00:00Z,179,172,Late,Late
WN,3018,January,2013-01-02T16:00:00Z,15,43,Kind of on time,Late
9E,3393,February,2013-02-08T20:00:00Z,NA,NA,NA,NA
UA,1708,March,2013-03-21T17:00:00Z,7,15,Kind of on time,Kind of on time
9E,3448,July,2013-07-19T21:00:00Z,32,52,Late,Late
VX,407,November,2013-11-16T14:00:00Z,-7,7,Kind of on time,Kind of on time
MQ,3660,October,2013-10-26T01:00:00Z,-4,16,Kind of on time,Kind of on time
UA,244,July,2013-07-12T20:00:00Z,3,-8,Kind of on time,Kind of on time
US,1447,January,2013-01-02T22:00:00Z,-4,-6,Kind of on time,Kind of on time
DL,1473,May,2013-05-01T20:00:00Z,-2,-34,Kind of on time,Early
MQ,4626,January,2013-01-13T23:00:00Z,22,19,Kind of on time,Kind of on time
AA,1901,May,2013-05-24T21:00:00Z,38,69,Late,Late
AA,1151,December,2013-12-03T18:00:00Z,0,-20,Kind of on time,Kind of on time
AS,15,August,2013-08-03T11:00:00Z,-14,-1,Kind of on time,Kind of on time
EV,4364,December,2013-12-23T12:00:00Z,-4,-8,Kind of on time,Kind of on time
DL,301,February,2013-02-16T13:00:00Z,-11,30,Kind of on time,Late
AA,1895,August,2013-08-02T10:00:00Z,-4,-7,Kind of on time,Kind of on time
DL,2343,July,2013-07-25T14:00:00Z,-1,-8,Kind of on time,Kind of on time
AA,19,February,2013-02-18T15:00:00Z,-6,-17,Kind of on time,Kind of on time
B6,36,April,2013-04-05T21:00:00Z,51,35,Late,Late
DL,423,December,2013-12-10T17:00:00Z,-4,29,Kind of on time,Kind of on time
US,1733,October,2013-10-16T11:00:00Z,-5,20,Kind of on time,Kind of on time
AA,2083,July,2013-07-16T11:00:00Z,-3,-20,Kind of on time,Kind of on time
DL,2391,May,2013-05-08T22:00:00Z,92,94,Late,Late
DL,127,May,2013-05-19T18:00:00Z,41,46,Late,Late
UA,74,March,2013-03-31T18:00:00Z,-2,-3,Kind of on time,Kind of on time
EV,4619,February,2013-02-09T02:00:00Z,NA,NA,NA,NA
DL,83,May,2013-05-31T23:00:00Z,30,-2,Late,Kind of on time
WN,3297,July,2013-07-30T15:00:00Z,1,2,Kind of on time,Kind of on time
EV,4869,September,2013-09-17T12:00:00Z,70,74,Late,Late
UA,606,March,2013-03-04T20:00:00Z,7,-11,Kind of on time,Kind of on time
DL,1433,April,2013-04-01T23:00:00Z,-2,-24,Kind of on time,Kind of on time
9E,3793,July,2013-07-01T18:00:00Z,110,110,Late,Late
UA,1109,January,2013-01-21T22:00:00Z,-2,-2,Kind of on time,Kind of on time
MQ,4601,May,2013-05-14T21:00:00Z,-1,5,Kind of on time,Kind of on time
WN,2625,July,2013-07-02T20:00:00Z,46,49,Late,Late
MQ,3792,May,2013-05-17T15:00:00Z,19,13,Kind of on time,Kind of on time
UA,1643,April,2013-04-18T13:00:00Z,-2,39,Kind of on time,Late
DL,1785,November,2013-11-13T17:00:00Z,-6,-15,Kind of on time,Kind of on time
UA,719,January,2013-01-23T11:00:00Z,-9,-37,Kind of on time,Early
B6,117,February,2013-02-06T11:00:00Z,-6,-32,Kind of on time,Early
MQ,3669,December,2013-12-06T20:00:00Z,21,38,Kind of on time,Late
MQ,3669,November,2013-11-10T19:00:00Z,-1,-2,Kind of on time,Kind of on time
DL,1942,June,2013-06-03T19:00:00Z,92,93,Late,Late
AA,1850,April,2013-04-18T16:00:00Z,1,2,Kind of on time,Kind of on time
EV,3828,February,2013-02-19T19:00:00Z,0,4,Kind of on time,Kind of on time
US,2140,January,2013-01-29T00:00:00Z,-6,-18,Kind of on time,Kind of on time
DL,1131,November,2013-11-17T17:00:00Z,2,5,Kind of on time,Kind of on time
EV,4344,March,2013-03-12T11:00:00Z,-5,-5,Kind of on time,Kind of on time
AS,15,July,2013-07-29T11:00:00Z,13,5,Kind of on time,Kind of on time
US,2124,May,2013-05-08T15:00:00Z,NA,NA,NA,NA
9E,3542,January,2013-01-07T23:00:00Z,4,-2,Kind of on time,Kind of on time
DL,1768,November,2013-11-18T00:00:00Z,16,12,Kind of on time,Kind of on time
AA,1410,December,2013-12-29T20:00:00Z,-5,-12,Kind of on time,Kind of on time
DL,183,September,2013-09-27T11:00:00Z,-4,-11,Kind of on time,Kind of on time
MQ,4484,March,2013-03-29T22:00:00Z,13,-3,Kind of on time,Kind of on time
DL,873,August,2013-08-28T13:00:00Z,-6,-26,Kind of on time,Kind of on time
EV,4166,December,2013-12-18T12:00:00Z,-3,13,Kind of on time,Kind of on time
VX,411,March,2013-03-22T17:00:00Z,-1,0,Kind of on time,Kind of on time
US,2185,January,2013-01-31T23:00:00Z,1,9,Kind of on time,Kind of on time
AA,257,March,2013-03-11T21:00:00Z,4,-5,Kind of on time,Kind of on time
MQ,3573,December,2013-12-16T00:00:00Z,-10,-19,Kind of on time,Kind of on time
EV,4361,November,2013-11-14T00:00:00Z,-3,-15,Kind of on time,Kind of on time
MQ,3728,March,2013-03-16T18:00:00Z,-8,11,Kind of on time,Kind of on time
DL,1508,February,2013-02-03T21:00:00Z,-3,-46,Kind of on time,Early
MQ,3622,July,2013-07-09T19:00:00Z,13,58,Kind of on time,Late
EV,3255,March,2013-03-31T11:00:00Z,-9,-21,Kind of on time,Kind of on time
US,2189,December,2013-12-20T22:00:00Z,30,22,Late,Kind of on time
B6,383,May,2013-05-16T01:00:00Z,-9,-20,Kind of on time,Kind of on time
DL,1747,April,2013-04-06T13:00:00Z,-6,-29,Kind of on time,Kind of on time
WN,905,November,2013-11-02T15:00:00Z,-5,-4,Kind of on time,Kind of on time
MQ,3535,September,2013-09-19T00:00:00Z,-6,-13,Kind of on time,Kind of on time
UA,1122,March,2013-03-12T18:00:00Z,79,108,Late,Late
AA,1905,February,2013-02-05T22:00:00Z,10,31,Kind of on time,Late
EV,4663,May,2013-05-15T22:00:00Z,20,18,Kind of on time,Kind of on time
VX,407,September,2013-09-17T13:00:00Z,-1,-18,Kind of on time,Kind of on time
UA,312,November,2013-11-12T20:00:00Z,-5,-7,Kind of on time,Kind of on time
DL,4,September,2013-09-15T19:00:00Z,-2,1,Kind of on time,Kind of on time
AA,21,September,2013-09-12T23:00:00Z,119,114,Late,Late
DL,1321,September,2013-09-13T21:00:00Z,22,10,Kind of on time,Kind of on time
UA,561,September,2013-09-11T11:00:00Z,-4,-21,Kind of on time,Kind of on time
MQ,3565,December,2013-12-12T13:00:00Z,-8,9,Kind of on time,Kind of on time
UA,314,April,2013-04-29T19:00:00Z,-1,-21,Kind of on time,Kind of on time
DL,781,November,2013-11-16T18:00:00Z,-8,5,Kind of on time,Kind of on time
EV,4312,November,2013-11-06T00:00:00Z,-3,3,Kind of on time,Kind of on time
DL,405,December,2013-12-29T16:00:00Z,47,42,Late,Late
9E,4357,January,2013-01-13T19:00:00Z,0,-2,Kind of on time,Kind of on time
B6,675,November,2013-11-07T11:00:00Z,-5,-2,Kind of on time,Kind of on time
US,1607,June,2013-06-11T19:00:00Z,-5,-14,Kind of on time,Kind of on time
MQ,3363,December,2013-12-08T13:00:00Z,-7,-7,Kind of on time,Kind of on time
EV,4181,June,2013-06-03T18:00:00Z,39,29,Late,Kind of on time
MQ,3768,March,2013-03-27T10:00:00Z,-1,-31,Kind of on time,Early
US,2116,July,2013-07-16T11:00:00Z,-8,-11,Kind of on time,Kind of on time
DL,2043,August,2013-08-23T17:00:00Z,-2,-12,Kind of on time,Kind of on time
MQ,2876,December,2013-12-15T16:00:00Z,-5,-17,Kind of on time,Kind of on time
B6,199,December,2013-12-30T14:00:00Z,-8,13,Kind of on time,Kind of on time
EV,4644,March,2013-03-31T21:00:00Z,-12,-4,Kind of on time,Kind of on time
WN,950,December,2013-12-07T11:00:00Z,1,10,Kind of on time,Kind of on time
UA,1259,March,2013-03-28T21:00:00Z,1,-18,Kind of on time,Kind of on time
EV,5904,November,2013-11-22T11:00:00Z,-11,-10,Kind of on time,Kind of on time
B6,1002,April,2013-04-30T10:00:00Z,-8,-8,Kind of on time,Kind of on time
DL,301,February,2013-02-24T13:00:00Z,-5,-34,Kind of on time,Early
DL,1485,March,2013-03-22T23:00:00Z,1,-1,Kind of on time,Kind of on time
DL,1919,May,2013-05-25T10:00:00Z,-4,-7,Kind of on time,Kind of on time
B6,1407,August,2013-08-14T21:00:00Z,9,38,Kind of on time,Late
WN,2497,August,2013-08-10T23:00:00Z,0,4,Kind of on time,Kind of on time
EV,3848,September,2013-09-25T16:00:00Z,0,-4,Kind of on time,Kind of on time
